lambda_um,PC1_plus,PC2_plus,PC3_plus,PC4_plus,PC5_plus,PC6_plus,PC7_plus,PC8_plus,PC9_plus,PC1_minus,PC2_minus,PC3_minus,PC4_minus,PC5_minus,PC6_minus,PC7_minus,PC8_minus,PC9_minus
2.540650407,0.000713566,-7.11E-05,2.90E-05,3.56E-05,2.48E-05,4.12E-05,-2.62E-05,2.96E-05,-5.89E-06,-0.00064757,7.20E-05,-2.88E-05,-3.53E-05,-2.48E-05,-4.09E-05,2.62E-05,-2.94E-05,5.89E-06
2.541296061,0.000698803,-7.18E-05,3.07E-05,3.70E-05,2.31E-05,4.35E-05,-2.97E-05,3.31E-05,-5.88E-06,-0.00063346,7.26E-05,-3.05E-05,-3.69E-05,-2.31E-05,-4.32E-05,2.99E-05,-3.30E-05,5.88E-06
2.541942044,0.000695972,-7.10E-05,3.05E-05,3.68E-05,2.28E-05,4.38E-05,-3.03E-05,3.45E-05,-6.35E-06,-0.000629733,7.20E-05,-3.02E-05,-3.65E-05,-2.26E-05,-4.33E-05,3.06E-05,-3.42E-05,6.50E-06
2.542588355,0.000696701,-7.13E-05,3.06E-05,3.70E-05,2.26E-05,4.39E-05,-3.06E-05,3.46E-05,-6.34E-06,-0.000630341,7.21E-05,-3.05E-05,-3.67E-05,-2.26E-05,-4.36E-05,3.08E-05,-3.45E-05,6.34E-06
2.543234995,0.00069681,-6.97E-05,2.94E-05,3.57E-05,2.26E-05,4.34E-05,-3.06E-05,3.59E-05,-7.27E-06,-0.000628784,7.05E-05,-2.92E-05,-3.56E-05,-2.24E-05,-4.31E-05,3.08E-05,-3.57E-05,7.27E-06
2.543881964,0.000701246,-7.17E-05,3.08E-05,3.71E-05,2.27E-05,4.42E-05,-3.09E-05,3.49E-05,-6.49E-06,-0.00063449,7.25E-05,-3.06E-05,-3.69E-05,-2.27E-05,-4.39E-05,3.09E-05,-3.49E-05,6.49E-06
2.544529262,0.000701044,-7.15E-05,3.07E-05,3.71E-05,2.27E-05,4.43E-05,-3.10E-05,3.55E-05,-6.64E-06,-0.00063355,7.23E-05,-3.06E-05,-3.69E-05,-2.25E-05,-4.40E-05,3.12E-05,-3.52E-05,6.64E-06
2.54517689,0.000705936,-7.18E-05,3.07E-05,3.72E-05,2.30E-05,4.45E-05,-3.10E-05,3.55E-05,-6.64E-06,-0.000638167,7.27E-05,-3.06E-05,-3.69E-05,-2.28E-05,-4.41E-05,3.12E-05,-3.52E-05,6.79E-06
2.545824847,0.000712828,-7.33E-05,3.15E-05,3.80E-05,2.35E-05,4.47E-05,-3.07E-05,3.46E-05,-6.02E-06,-0.00064602,7.42E-05,-3.12E-05,-3.76E-05,-2.33E-05,-4.43E-05,3.09E-05,-3.43E-05,6.17E-06
2.546473135,0.000724186,-7.42E-05,3.15E-05,3.81E-05,2.44E-05,4.44E-05,-2.98E-05,3.32E-05,-5.71E-06,-0.000657874,7.51E-05,-3.12E-05,-3.78E-05,-2.42E-05,-4.40E-05,2.99E-05,-3.28E-05,5.86E-06
